Numero;Equipo 1;Resultado;Equipo 2;Fecha;Hora;Estadio;Fase
86;;;;04/07/2026;0:00;Hard Rock Stadium;Diesciesisavos de final
87;;;;04/07/2026;3:30;Arrowhead Stadium;Diesciesisavos de final
88;;;;03/07/2026;20:00;AT&T Stadium;Diesciesisavos de final
89;;;;04/07/2026;23:00;Lincoln Financial Field;Octavos de final
90;;;;04/07/2026;19:00;NRG Stadium;Octavos de final
91;;;;05/07/2026;22:00;MetLife Stadium;Octavos de final
92;;;;06/07/2026;2:00;Estadio Azteca;Octavos de final
93;;;;06/07/2026;21:00;AT&T Stadium;Octavos de final
94;;;;07/07/2026;2:00;Lumen Field;Octavos de final
95;;;;07/07/2026;18:00;Mercedes-Benz Stadium;Octavos de final
96;;;;07/07/2026;22:00;Estadio BC Place;Octavos de final
97;;;;09/07/2026;22:00;Gillette Stadium;Cuartos de final
98;;;;10/07/2026;21:00;SoFi Stadium;Cuartos de final
99;;;;11/07/2026;23:00;Hard Rock Stadium;Cuartos de final
100;;;;12/07/2026;3:00;Arrowhead Stadium;Cuartos de final
101;;;;14/07/2026;21:00;AT&T Stadium;Semifinales
102;;;;15/07/2026;21:00;Mercedes-Benz Stadium;Semifinales
103;;;;18/07/2026;23:00;Hard Rock Stadium;Tercer puesto
104;;;;19/07/2026;21:00;MetLife Stadium;Final
